Year,Development_Status,"Government expenditure on education, total (% of GDP)","Government expenditure per student, primary (% of GDP per capita)","Government expenditure per student, secondary (% of GDP per capita)","Government expenditure per student, tertiary (% of GDP per capita)","Self-employed, female (% of female employment) (modeled ILO estimate)","Self-employed, male (% of male employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by injury (% of total)","Cause of death, by non-communicable diseases (% of total)","Life expectancy at birth, total (years)",Prevalence of overweight (% of adults),Prevalence of current tobacco use (% of adults),Current health expenditure per capita (current US$),Individuals using the Internet (% of population),GDP per capita (current US$),Access to electricity (% of population),ICT goods exports (% of total goods exports),Urban population (% of total population),"School enrollment, tertiary (% gross)","Literacy rate, adult total (% of people ages 15 and above)","School enrollment, secondary (% net)","Primary completion rate, total (% of relevant age group)","Lower secondary completion rate, total (% of relevant age group)","Labor force, female (% of total labor force)",Proportion of seats held by women in national parliaments (%),"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, youth (ages 15-24), gender parity index (GPI)","Mortality rate, infant (per 1,000 live births)","Immunization, DPT (% of children ages 12-23 months)",Current health expenditure (% of GDP),Births attended by skilled health staff (% of total),People using safely managed drinking water services (% of population)
2005,Developed,4.980286359786987,19.746785416666665,25.77048613970588,36.34778720890411,9.301893042841849,15.768795755783033,12.868446797280798,8.094299426849805,5.051616480651711,86.8540842687654,79.52646341463415,49.1375,26.7375,3504.309562685,69.0,38609.509043365826,100.0,9.87625,84.045125,64.1453274691977,94.92857142857144,90.68233418577982,100.45221377392213,97.74414927164712,44.54477087240029,21.768583183072465,92.28571428571428,1.0,4.3625,94.375,8.75541505125,99.12930107526881,98.09313643086392
2005,Developing,4.270405969648518,15.736910227565481,18.323717523219816,39.75084791764706,53.24932265449136,50.28962221409416,51.10268272426884,20.989254967653004,9.613385970488098,69.39735908195532,69.21486800573888,33.38823529411765,30.043025210084036,155.6626552417647,9.658941176470588,2939.247087198591,79.11176470588236,9.23802743712326,49.406294117647064,27.204661709849198,77.05888483349817,60.62304128196931,84.48779698399937,67.82483492378427,36.924936807811605,15.65564186461905,71.74628591858651,0.9685131697570768,30.92941176470588,86.29411764705883,4.906935766470589,80.09055589246009,46.97315181941432
2005,Least developed,4.8231014423900165,7.1023564285714285,13.831971666666668,53.0464,79.9182575839688,70.13028460282594,74.937446812811,41.71799416083952,8.689154992011474,49.592850571466805,56.88666666666666,22.166666666666668,38.233333333333334,31.49790735100629,0.9274,413.1702665022847,34.63333333333333,0.1693081761006289,27.076666666666668,5.185484866165132,80.93699188232422,38.95748676767676,87.99205393369505,41.09139421711799,46.9699040337212,13.828320642238708,75.70364023844401,0.8812490374434224,54.26666666666667,74.33333333333333,4.814881722452831,55.37179487179486,27.86128344111877
2006,Developed,4.912570627346154,19.47006533333333,25.249179283088232,35.72610345890411,9.21384727790133,15.64250617802996,12.750322909489466,8.094299426849805,5.051616480651711,86.8540842687654,79.77649390243903,49.6125,22.133928571428573,3729.3336715699998,70.3375,40846.712943814,100.0,10.02,84.32575,61.07818534432387,94.92857142857144,90.00767241972477,100.84971190472038,97.74414927164712,44.694551331367066,22.5557799280176,92.28571428571428,1.0,4.2875,94.625,8.8289339075,99.27930107526882,98.15774017449596
2006,Developing,4.0807426792823716,15.521372194074713,18.39120077399381,40.68356003921569,52.59393617512401,49.5908651813272,50.43591061475012,20.989254967653004,9.613385970488098,69.39735908195532,69.59068005738881,33.94705882352941,26.76571428571428,180.98275308,11.508882352941177,3514.5548760569395,80.75294117647059,9.14508626065267,49.82694117647059,30.32951276967189,81.01062958626989,61.6963730370844,86.34614358649534,70.03383435972599,37.07981119724534,15.28942273502092,76.62998006244277,0.9920508195849218,29.54705882352941,86.88235294117646,4.905894514705882,77.21762684455226,47.1735268867171
2006,Least developed,4.8231014423900165,7.1023564285714285,13.831971666666668,53.0464,78.31674079748893,68.4196746410307,73.27417149229173,41.71799416083952,8.689154992011474,49.592850571466805,57.43866666666667,22.7,31.804761904761904,31.666323691006294,1.0166666666666666,448.8523049973907,37.699999999999996,0.1993081761006289,27.117,5.974981446924819,80.93699188232422,37.78964171717172,90.58944254505388,42.63470374674035,46.75361179271553,14.050542864460942,75.70364023844401,0.9852235422414886,53.23333333333333,77.33333333333333,4.545981779119497,57.819230769230764,28.4834203355215
2007,Developed,4.833500415086746,19.48719033333333,25.213835533088233,35.970069965753424,8.877198739621186,15.344640015687338,12.447838687852515,8.094299426849805,5.051616480651711,86.8540842687654,79.99384146341465,50.05,22.133928571428573,4134.019592285,74.65,45044.262223520665,100.0,10.14375,84.597875,61.669380089131785,94.92857142857144,89.77015741972477,100.73094607372676,97.74414927164712,44.590961609310654,23.467992717599,92.28571428571428,1.0,4.1875,94.0,8.880178911249999,98.99180107526882,98.22128293450749
2007,Developing,4.205661455070992,15.824227479604982,18.063189566563466,38.66241709803922,53.118915315373805,49.17347351296331,50.38018233402474,20.989254967653004,9.613385970488098,69.39735908195532,69.84493113342899,34.53529411764706,26.76571428571428,220.44185184058824,13.365882352941176,4093.4960386787066,81.32941176470588,9.514982332155476,50.24852941176471,32.45384340381028,77.88388406679029,63.92873654731458,86.59570624267357,72.61076491069392,37.46107643560854,16.227018036111335,73.85350870732829,1.0019156649714709,28.241176470588236,87.58823529411765,5.033047158235294,83.07408934707904,47.37444408423776
2007,Least developed,3.7485009705578847,7.1023564285714285,13.831971666666668,53.0464,77.31022160703257,67.28763664592833,72.19231668776614,41.71799416083952,8.689154992011474,49.592850571466805,57.903999999999996,23.23333333333333,31.804761904761904,31.63123864767296,1.2356666666666667,521.4568825273413,35.63333333333333,0.17597484276729558,27.15833333333333,8.097797542742414,80.93699188232422,39.10308838383838,91.43515329944846,43.95153088500532,46.54420550335836,17.080353162563906,75.70364023844401,0.9852235422414886,51.96666666666667,80.33333333333333,4.065937259119496,62.07179487179487,29.11436105021433
2008,Developed,4.8670099675655365,18.339268999999998,23.87096617647059,33.50422897260274,8.668619838789214,15.170053299467495,12.249107740929283,8.094299426849805,5.051616480651711,86.8540842687654,80.16493902439025,50.525,22.133928571428573,4444.30297851625,76.025,47908.19818423979,100.0,9.4425,84.860125,61.12899961122652,94.92857142857144,90.01113366972477,100.68680144329457,97.79570573170977,44.67234531931665,23.66027267074954,92.28571428571428,1.0,4.0875,93.875,9.141884189999999,99.13360215053763,98.2847531333611
